,基金代码,基金名称,开始日期,类型
1976,003079,中融银行间3-5年中高等级信用债指数,2016-12-22,债券基金
1977,003081,中融银行间1-3年中高等级信用债指数,2016-12-27,债券基金
1978,003083,中融银行间1-3年高等级信用债指数,2016-12-22,债券基金
1979,003085,中融银行间0-1年中高等级信用债指数,2016-12-27,债券基金
1980,003087,上投摩根岁岁丰债券,2016-08-26,债券基金
1981,003089,中融恒瑞纯债,2017-04-07,债券基金
1982,003091,中欧强利债券,2016-08-03,债券基金
1983,003092,华商丰利增强定期开放债券,2016-09-20,债券基金
1984,003094,大摩多元兴利18个月,2016-09-22,债券基金
1985,003095,中欧医疗健康混合,2016-09-29,混合式基金
1986,003097,德邦德焕9个月定开债,2016-09-13,债券基金
1987,003099,长盛盛景纯债,2016-08-04,债券基金
1988,003101,诺德天禧,2016-08-15,债券基金
1989,003102,长盛盛裕纯债,2016-08-04,债券基金
1990,003104,泰达宏利定宏混合,2016-09-13,混合式基金
1991,003105,光大保德信永鑫混合,2016-08-19,混合式基金
1992,003107,光大保德信安祺债券,2017-01-11,债券基金
1993,003109,光大保德信安和债券,2017-01-05,债券基金
1994,003115,光大保德信诚鑫混合,2016-12-15,混合式基金
1995,003117,光大吉鑫混合,2016-08-19,混合式基金
1996,003119,博时鑫源混合,2016-08-24,混合式基金
1997,003121,信诚稳利,2016-08-04,债券基金
1998,003122,鹏华兴盛定期开放混合,2016-08-25,混合式基金
1999,003123,天治鑫利纯债,2016-12-07,债券基金
2000,003125,中科沃土沃鑫成长,2016-10-25,混合式基金
2001,003126,长信纯债半年定开债券,2016-12-23,债券基金
2002,003128,景顺长城景盈汇利债券,2017-05-23,债券基金
2003,003131,国寿安保强国智造混合,2016-09-27,混合式基金
2004,003132,德邦新回报灵活配置混合,2017-01-13,混合式基金
2005,003133,易方达裕鑫债券,2016-09-05,债券基金
2006,003135,金元顺安沣楹债券,2016-09-22,债券基金
2007,003140,鹏华弘腾混合,2016-09-29,混合式基金
2008,003142,鹏华弘达混合,2016-08-10,混合式基金
2009,162414,华宝新机遇混合,2015-06-11,混合式基金
2010,003145,中融竞争优势,2016-09-07,股票基金
2011,003146,融通通优债券,2016-08-09,债券基金
2012,003147,大成动态量化,2016-09-20,混合式基金
2013,003148,中欧瑾悠灵活配置混合,2016-08-22,混合式基金
2014,003150,中欧睿诚定期开放混合,2016-12-01,混合式基金
2015,003152,华富天鑫灵活配置混合,2016-12-29,混合式基金
2016,003154,华宝新活力混合,2016-09-07,混合式基金
2017,003155,中加丰尚纯债债券,2016-08-19,债券基金
2018,003156,招商招悦纯债,2016-08-24,债券基金
2019,003158,国投瑞银瑞达混合,2016-09-29,混合式基金
2020,003159,万家恒瑞18个月,2016-08-15,债券基金
2021,003161,南方安泰混合,2016-09-22,混合式基金
2022,003162,博时富宁纯债债券,2016-08-17,债券基金
2023,003163,金鹰添益纯债债券,2016-08-19,债券基金
2024,003165,鹏华弘嘉混合,2016-08-19,混合式基金
2025,003167,前海开源鼎瑞债券,2016-08-16,债券基金
2026,003169,长盛盛辉混合,2016-08-16,混合式基金
2027,003171,信达澳银慧理财货币,2016-09-18,货币基金
2028,003172,鹏华丰安债券,2016-08-25,债券基金
2029,003174,前海联合添惠纯债,2018-04-10,债券基金
2030,003175,华泰柏瑞多策略混合,2016-09-29,混合式基金
2031,003176,德邦景颐债券,2016-08-26,债券基金
2032,003178,广发景盛纯债,2016-08-30,债券基金
2033,003179,山证裕利,2016-08-24,债券基金
2034,003180,前海联合添利债券,2016-11-11,债券基金
2035,003182,华富弘鑫灵活配置混合,2016-11-24,混合式基金
2036,530002,建信货币,2006-04-25,货币基金
2037,003186,鹏华兴安定期开放混合,2016-09-27,混合式基金
2038,003187,嘉实安益混合,2016-08-25,混合式基金
2039,003188,博时聚源纯债债券,2017-02-09,债券基金
2040,003189,汇添富保鑫保本混合,2016-09-29,混合式基金
2041,003190,创金合信消费主题股票型,2016-08-22,股票基金
2042,003192,创金合信尊丰纯债,2016-09-02,债券基金
2043,003193,创金合信尊智纯债,2017-06-16,债券基金
2044,003194,上海国企ETF联接,2016-09-18,联接基金
2045,003195,光大保德信永利债券,2017-02-17,债券基金
2046,003197,光大保德信安诚债券,2017-03-28,债券基金
2047,003199,长盛盛琪一年债券,2016-09-27,债券基金
2048,720003,财通收益增强债券,2012-12-20,债券基金
2049,720002,财通多策略稳健增长债券,2012-07-13,债券基金
2050,003206,博时合鑫货币,2016-10-12,货币基金
2051,003207,博时富发纯债,2016-09-07,债券基金
2052,003208,东兴量化多策略混合,2016-10-27,混合式基金
2053,003209,鹏华丰达债券,2016-08-30,债券基金
2054,003210,博时智臻纯债债券,2016-08-30,债券基金
2055,003211,广发集安债券,2017-01-20,债券基金
2056,003213,中银悦享定期开放债券,2016-09-28,债券基金
2057,003214,易方达富惠纯债,2016-08-24,债券基金
2058,003215,信诚至鑫,2016-10-12,混合式基金
2059,003218,前海开源祥和债券,2016-11-28,债券基金
2060,003220,浙商惠利纯债,2016-09-27,债券基金
2061,003221,新华丰利债券,2016-10-26,债券基金
2062,003223,广发景丰纯债,2016-11-23,债券基金
2063,003224,鹏华兴润定期开放混合,2016-09-02,混合式基金
2064,003226,信诚稳健,2016-09-02,债券基金
2065,003228,浦银安盛日日鑫货币,2016-11-30,货币基金
2066,003230,创金合信医疗保健行业股票,2016-08-30,股票基金
2067,003232,创金合信金融地产股票,2016-08-30,股票基金
2068,003234,信诚至利,2016-09-02,混合式基金
2069,003236,信诚惠盈,2016-09-02,债券基金
2070,003238,新华外延增长混,2017-03-02,混合式基金
2071,003239,博时安祺一年定期开放债务,2016-09-29,债券基金
2072,003241,创金合信量化发现混合,2016-09-27,混合式基金
2073,003243,上投摩根中国世纪,2016-11-11,混合式基金
2074,003246,华泰柏瑞天添宝货币,2016-09-22,货币基金
2075,003247,泰达宏利启智混合,2016-08-30,混合式基金
2076,003249,建信恒丰纯债债券,2016-11-15,债券基金
2077,003250,融通通尚灵活配置混合,2016-10-19,混合式基金
2078,003252,大成添益交易型货币,2016-09-29,货币基金
2079,003254,前海开源鼎裕债券,2016-09-23,债券基金
2080,003256,信诚至益,2016-09-07,混合式基金
2081,003258,博时富祥纯债债券,2016-11-10,债券基金
2082,003259,博时聚利纯债债券,2016-09-18,债券基金
2083,003260,博时利发纯债债券,2016-09-07,债券基金
2084,003261,安信沪深300增强,2016-10-12,股票基金
2085,003265,招商招坤纯债,2016-10-18,债券基金
2086,003268,博时悦楚纯债债券,2016-09-09,债券基金
2087,003269,招商招乾3个月定开债发起式,2016-10-26,债券基金
2088,003271,国联安安鑫瑞混合,2016-09-09,混合式基金
2089,003273,安信永丰定开债,2016-10-10,债券基金
2090,003275,国联安鑫盈混合,2016-09-29,混合式基金
2091,003277,信诚稳瑞,2016-09-09,债券基金
2092,003279,融通沪港深智慧生活灵活配置混合,2016-11-08,混合式基金
2093,003280,鹏华丰恒债券,2016-09-22,债券基金
2094,003282,信诚至裕,2016-09-29,混合式基金
2095,003284,中邮医药健康,2016-12-13,混合式基金
2096,003285,国寿安保安康纯债债券,2016-09-02,债券基金
2097,003286,平安惠享纯债,2016-10-27,债券基金
2098,003287,信诚稳益,2016-09-09,债券基金
2099,003289,创金合信尊泰纯债,2016-10-21,债券基金
2100,003290,长城久稳,2016-11-11,债券基金
2101,003291,信达澳银健康中国混合,2017-08-18,混合式基金
2102,003292,嘉实优势成长混合,2016-12-01,混合式基金
2103,003293,易方达科瑞混合,2017-01-03,混合式基金
2104,003295,南方安裕养老混合,2016-11-15,混合式基金
2105,003298,嘉实物流产业股票,2016-12-29,股票基金
2106,003300,华夏圆和混合,2016-12-29,混合式基金
2107,003301,华夏鼎融债券,2016-11-07,债券基金
2108,003304,前海开源沪港深核心资源混合,2016-10-17,混合式基金
2109,003306,民生加银鑫益债券,2017-03-07,债券基金
2110,003308,中信建投睿利,2016-12-07,混合式基金
2111,003309,兴业启元一年定开债券,2016-10-27,债券基金
2112,003311,大摩睿成大盘弹性股票,2017-04-12,股票基金
2113,003312,大摩睿成中小盘弹性股票,2017-01-16,股票基金
2114,003313,中银睿享定开债券,2016-09-22,债券基金
2115,003314,浙商惠南纯债债券,2016-11-17,债券基金
2116,003315,景顺长城政策性金融债,2017-01-25,债券基金
2117,003316,中银证券现金管家货币,2016-12-07,货币基金
2118,003318,景顺中证500,2017-03-03,股票基金
2119,003319,建信瑞丰添利混合,2016-11-01,混合式基金
2120,161129,易方达原油(QDII-LOF-FOF),2016-12-19,联接基金
2121,003324,东方永兴18个月定期开放债券,2016-11-02,债券基金
2122,003326,招商睿诚定开混合,2017-04-28,混合式基金
2123,003327,万家鑫璟纯债,2016-09-13,债券基金
2124,003329,万家鑫安纯债,2016-09-18,债券基金
2125,003331,博时乐臻定开混合,2016-09-29,混合式基金
2126,003332,南方荣发,2016-11-08,混合式基金
2127,003333,泰信智选成长,2016-12-21,混合式基金
2128,003334,中融融信双盈,2016-11-02,债券基金
2129,003336,长江收益增强债券,2016-10-17,债券基金
2130,003337,南方颐元债券发起式,2016-09-26,债券基金
2131,003339,华安睿享定开混合,2016-11-02,混合式基金
2132,003341,工银瑞盈18个月定开债券,2016-11-02,债券基金
2133,003342,工银国债纯债债券,2016-12-16,债券基金
2134,003343,鹏华弘惠混合,2016-09-27,混合式基金
2135,003345,安信新成长混合,2016-09-29,混合式基金
2136,003349,长信稳益纯债,2016-10-26,债券基金
2137,003350,广发鑫盛18个月定开混合,2016-11-18,混合式基金
2138,003351,招商稳荣定开灵活混合,2016-10-25,混合式基金
2139,003353,信诚至优,2016-09-26,混合式基金
2140,003355,招商稳祥定开灵活配置混合,2016-10-11,混合式基金
2141,003358,易方达中债7-10年,2016-09-27,债券基金
2142,003360,前海开源瑞和债券,2017-03-30,债券基金
2143,003362,国联安睿利定开,2016-12-01,混合式基金
2144,003363,长江乐享货币,2016-10-26,货币基金
2145,003366,浙商汇金中证转型成长指数,2016-12-19,股票基金
2146,003367,鹏华兴合定期开放混合,2016-09-27,混合式基金
2147,003369,招商招庆纯债,2016-10-18,债券基金
2148,003371,招商招轩纯债,2016-10-26,债券基金
2149,003373,大成景禄灵活配置混合,2016-09-29,混合式基金
2150,003376,广发中债7-10年国开债指数,2016-09-26,债券基金
2151,003378,泰康策略优选混合,2016-11-28,混合式基金
2152,003379,信诚至选,2016-11-08,混合式基金
2153,003381,博时裕信纯债债券,2016-10-25,债券基金
2154,003382,民生加银鑫享债券,2016-10-31,债券基金
2155,003384,金鹰添盈纯债债券,2017-01-11,债券基金
2156,003385,工银全球美元债(QDII),2017-01-23,债券基金
2157,003388,招商招益宝货币,2017-02-23,货币基金
2158,003390,江信一年定开,2017-04-17,债券基金
2159,003391,建信天添益货币,2016-10-18,货币基金
2160,003394,建信恒安一年定期开放债券,2016-11-08,债券基金
2161,003395,安信尊享纯债,2016-09-29,债券基金
2162,003396,东方红优享红利混合,2016-10-31,混合式基金
2163,003397,银华体育文化灵活配置混合,2016-11-17,混合式基金
2164,003398,太平日日金,2016-11-04,货币基金
2165,003400,建信恒瑞一年定期开放债券,2016-11-16,债券基金
2166,003401,工银可转债债券,2016-12-14,债券基金
2167,003402,安信活期宝,2016-10-17,货币基金
2168,003403,华商瑞丰,2017-03-01,混合式基金
2169,003404,招商稳盛定开混合,2016-11-10,混合式基金
2170,003406,南方多元,2016-09-29,债券基金
2171,003407,景顺长城景泰丰利纯债债券,2017-01-13,债券基金
2172,003409,景顺长城景颐盛利债券,2016-10-13,债券基金
2173,003411,鹏华弘康混合,2016-09-29,混合式基金
2174,003413,华泰柏瑞新经济沪港深混合,2016-11-25,混合式基金
2175,003414,泰达宏利创金混合,2016-09-29,混合式基金
2176,003416,招商财经大数据股票,2016-11-02,股票基金
2177,003417,中加丰泽纯债债券,2016-12-16,债券基金
2178,003418,华润元大润鑫债券,2016-10-17,债券基金
2179,003419,中欧弘安一年定开,2017-04-07,债券基金
2180,003420,德邦群利债券,2017-03-10,债券基金
2181,003422,国寿安保添利货币,2016-12-27,货币基金
2182,003424,江信洪福,2016-12-07,债券基金
2183,003425,江信添福,2016-11-02,债券基金
2184,003427,建信恒远一年定期开放债券,2016-11-17,债券基金
2185,003428,中加丰盈纯债债券,2016-11-02,债券基金
2186,003429,中证兴业中高等级信用债指数,2016-11-04,债券基金
2187,003430,兴业14天理财,2016-10-24,货币基金
2188,003432,信诚至瑞,2016-10-21,混合式基金
2189,003434,博时鑫泽混合,2016-10-17,混合式基金
2190,003436,博时鑫丰混合,2016-12-21,混合式基金
2191,003438,招商招怡纯债,2016-11-08,债券基金
2192,003440,招商招享纯债,2017-03-17,债券基金
2193,003442,招商招惠纯债,2016-12-07,债券基金
2194,003445,中加丰享纯债债券,2016-11-11,债券基金
2195,003446,英大睿鑫混合,2016-11-23,混合式基金
2196,003448,招商招华纯债,2016-12-21,债券基金
2197,003450,招商招信纯债,2017-03-10,债券基金
2198,003452,招商招盛纯债,2016-10-26,债券基金
2199,003454,招商招通纯债,2016-10-20,债券基金
2200,003456,信达澳银新目标混合,2016-10-19,混合式基金
2201,003457,国泰润泰纯债债券,2017-03-01,债券基金
2202,003458,嘉实稳宏债券,2017-06-02,债券基金
2203,003460,嘉实现金宝货币,2016-12-22,货币基金
2204,003461,嘉实稳元纯债债券,2017-03-09,债券基金
2205,003462,新华鑫盛混合,2016-12-22,混合式基金
2206,003463,泰达宏利亚洲债券(QDII),2016-10-14,债券基金
2207,003465,平安金管家货币,2016-12-07,货币基金
2208,003466,长城久盛安稳纯债,2016-11-04,债券基金
2209,003467,富荣货币,2016-12-26,货币基金
2210,003469,德邦德景一年定开债,2016-11-10,债券基金
2211,003471,前海联合添鑫定开债券,2016-10-18,债券基金
2212,003473,南方天天利货币,2016-10-20,货币基金
2213,003475,前海联合沪深300,2016-11-30,股票基金
2214,003476,南方安颐混合,2016-12-14,混合式基金
2215,003477,南方睿见混合,2016-12-21,混合式基金
2216,003478,民生加银腾元宝货币,2016-12-02,货币基金
2217,003479,财通资管鑫管家货币,2016-10-25,货币基金
2218,003482,交银天鑫宝货币,2016-12-07,货币基金
2219,003484,金鹰鑫益混合,2016-11-16,混合式基金
2220,003486,平安惠隆纯债,2016-11-23,债券基金
2221,003487,平安惠融纯债,2016-11-01,债券基金
2222,003488,平安惠裕,2017-03-10,债券基金
2223,003490,长盛盛平混合,2016-10-25,混合式基金
2224,003492,前海开源外向企业股票,2016-11-17,股票基金
2225,003493,申万菱信安鑫优选混合,2016-11-07,混合式基金
2226,161005,富国天惠成长混合(LOF),2005-11-16,混合式基金
2227,003495,鹏华弘尚混合,2016-10-25,混合式基金
2228,003497,银华添泽定期开放债券,2016-11-11,债券基金
2229,003498,前海联合添和纯债,2016-12-07,债券基金
2230,003500,鑫元聚利债券,2016-10-27,债券基金
2231,003501,泰达睿智稳健混合,2016-11-23,混合式基金
2232,003502,金鹰鑫瑞混合,2016-12-06,混合式基金
2233,003504,景顺长城景颐丰利纯债债券,2017-01-17,债券基金
2234,003508,华安睿安定开混合,2017-03-15,混合式基金
2235,003510,长盛可转债,2016-12-07,债券基金
2236,003513,中邮消费升级,2016-12-15,混合式基金
2237,003514,国寿安保安享纯债债券,2016-10-19,债券基金
2238,003515,国泰利是宝货币,2016-12-22,货币基金
2239,003516,国泰融安多策略,2017-07-03,混合式基金
2240,003517,国泰润利纯债债券,2017-02-27,债券基金
2241,003518,万家鑫瑞,2017-06-07,债券基金
2242,003520,万家鑫稳纯债,2016-11-25,债券基金
2243,003522,万家鑫通纯债,2016-11-18,债券基金
2244,003524,易方达深证成指ETF联接,2017-05-04,联接基金
2245,003525,兴银现金收益,2016-10-25,货币基金
2246,003526,农银金穗纯债,2016-11-07,债券基金
2247,003527,鹏华丰腾债券,2016-10-27,债券基金
2248,003528,汇添富长添利定期开放债券,2016-12-06,债券基金
2249,003530,东方永熙18个月定期开放债券,2016-12-27,债券基金
2250,003532,汇添富鑫利定开债,2017-03-13,债券基金
2251,003534,浦银安盛日日丰,2016-11-07,货币基金
2252,003537,招商招利宝货币,2017-04-17,货币基金
2253,003541,国联安睿智定开,2016-12-29,混合式基金
2254,003545,东兴兴利债券,2017-04-14,债券基金
2255,003546,长城久信债券,2016-11-30,债券基金
2256,003547,鹏华丰禄债券,2016-10-27,债券基金
2257,162213,泰达宏利沪深300,2010-04-23,股票基金
2258,003549,浙商惠裕纯债债券,2016-11-07,债券基金
2259,003551,工银恒丰纯债债券,2016-10-27,债券基金
2260,003552,国泰现金宝货币,2017-03-08,货币基金
2261,003555,华泰柏瑞睿利混合,2016-11-23,混合式基金
2262,003557,博时泰安债券,2016-12-21,债券基金
2263,003559,平安量化成长混合,2016-11-02,混合式基金
2264,003561,诺德成长精选,2017-02-24,混合式基金
2265,164815,工银国际原油（QDII-LOF）,2013-05-28,联接基金
2266,003564,博时安诚3个月定开债,2016-11-10,债券基金
2267,003566,博时臻选纯债债券,2016-11-07,债券基金
2268,003567,华夏行业景气混合,2017-02-04,混合式基金
2269,003568,平安惠利纯债,2016-11-18,债券基金
2270,003569,招商招丰纯债,2016-12-07,债券基金
2271,003571,招商招琪纯债,2016-12-07,债券基金
2272,003573,中信建投稳裕,2016-11-07,债券基金
2273,003574,大成惠利纯债,2016-11-02,债券基金
2274,003575,大成惠益纯债债券,2016-11-02,债券基金
2275,003576,招商招弘纯债,2017-02-23,债券基金
2276,003580,泰康沪港深价值优选混合,2016-12-28,混合式基金
2277,003581,前海联合国民健康混合,2016-12-29,混合式基金
2278,003582,中金量化多策略,2016-11-10,混合式基金
2279,003583,建信稳定鑫利债券,2017-01-06,债券基金
2280,003585,先锋现金宝,2016-11-22,货币基金
2281,003586,先锋精一,2016-11-18,混合式基金
2282,003588,东吴增鑫宝,2016-11-07,货币基金
2283,003590,建信睿富纯债债券,2016-11-25,债券基金
2284,003591,华泰柏瑞享利混合,2016-12-29,混合式基金
2285,003593,国泰景气行业灵活配置混合,2017-03-20,混合式基金
2286,003594,长盛盛崇混合,2016-11-10,混合式基金
2287,003596,长盛盛腾混合,2017-01-13,混合式基金
2288,003598,华商润丰混合,2017-01-25,混合式基金
2289,003601,申万菱信安鑫精选混合,2016-11-18,混合式基金
2290,003603,景顺长城泰安回报混合,2016-12-09,混合式基金
2291,003605,景顺景泰汇利,2016-11-11,债券基金
2292,501300,海富通美元债,2016-11-28,债券基金
2293,003607,博时富益纯债债券,2016-11-04,债券基金
2294,003610,南方荣安定期开放混合,2016-11-23,混合式基金
2295,003612,南方卓元债券,2016-11-11,债券基金
2296,003614,信诚景瑞,2016-12-07,债券基金
2297,003616,招商招熹纯债,2017-06-16,债券基金
2298,003618,招商招旺纯债,2016-11-02,债券基金
2299,003620,招商睿乾混合,2017-07-21,混合式基金
2300,003621,新华鑫丰,2017-04-17,混合式基金
2301,003622,创金合信优价成长股票,2016-11-02,股票基金
2302,003624,创金合信资源主题精选股票,2016-11-02,股票基金
2303,003626,平安鑫利定期开放,2016-12-07,混合式基金
2304,003627,兴银长富,2016-12-16,债券基金
2305,003628,兴银收益增强,2016-11-28,债券基金
2306,003629,全球多元配置(QDII),2016-12-19,联接基金
2307,003632,招商稳乾定开混合,2016-12-29,混合式基金
2308,003634,嘉实农业产业股票,2016-12-07,股票基金
2309,003637,安信永鑫增强债券,2017-01-13,债券基金
2310,003639,工银瑞盈半年定开债券,2017-01-25,债券基金
2311,003640,兴业裕丰债券,2017-01-03,债券基金
2312,003641,长盛盛丰混合,2016-11-18,混合式基金
2313,003645,融通通弘债券,2017-01-04,债券基金
2314,003646,创金合信中证1000增强,2016-12-22,股票基金
2315,003648,融通通祺债券,2016-11-10,债券基金
2316,003650,融通通润债券,2017-03-13,债券基金
2317,003651,博时丰达,2016-11-08,债券基金
2318,003652,招商招泰6个月定开债,2016-12-23,债券基金
2319,003654,博时锦禄纯债债券,2016-11-08,债券基金
2320,003655,信达澳银新财富混合,2016-11-10,混合式基金
2321,003656,民生加银鑫元纯债债券,2017-06-21,债券基金
2322,003658,长盛量化多策略,2017-02-22,混合式基金
2323,003659,山西证券策略精选,2016-12-29,混合式基金
2324,003660,中加纯债两年债券,2016-11-11,债券基金
2325,003662,鹏华永盛定期开放债券,2016-12-29,债券基金
2326,003663,鹏华兴泰定期开放混合,2016-11-30,混合式基金
2327,003664,新沃通利纯债,2016-12-27,债券基金
2328,003666,天弘金明混合,2017-03-09,混合式基金
2329,003667,天弘安盈混合,2016-11-11,混合式基金
2330,003668,东方红益鑫纯债,2016-11-28,债券基金
2331,003670,中融物联网主题,2017-02-27,混合式基金
2332,003671,兴业裕恒债券,2016-11-04,债券基金
2333,003672,兴业裕华债券,2016-12-07,债券基金
2334,003673,中加丰裕纯债债券,2016-11-28,债券基金
2335,003674,融通通玺债券,2016-12-22,债券基金
2336,003675,博时安慧18个月定开债,2016-12-16,债券基金
2337,003677,融通通穗债券,2016-12-27,债券基金
2338,003678,中融现金增利货币,2016-11-14,货币基金
2339,003680,华润元大润泰双鑫债券,2017-03-24,债券基金
2340,003681,建信睿享纯债债券,2016-11-08,债券基金
2341,003682,博时安弘一年定开债,2016-11-15,债券基金
2342,003684,汇安丰融混合,2016-12-22,混合式基金
2343,003686,国泰丰益灵活配置混合,2016-12-09,混合式基金
2344,003689,国泰鸿益灵活配置混合,2016-11-25,混合式基金
2345,003691,农银金泰一年定开,2016-12-27,债券基金
2346,003692,大成景尚灵活配置混合,2016-11-11,混合式基金
2347,003694,国泰景益灵活配置混合,2016-12-09,混合式基金
2348,003696,国泰润鑫定期开放债券,2017-07-04,债券基金
2349,003697,华夏睿磐泰盛定开混合,2017-03-15,混合式基金
2350,003698,华夏新锦祥混合,2017-01-10,混合式基金
2351,003700,民生加银鑫智纯债债券,2017-07-24,债券基金
2352,003702,平安中证沪港深高股息,2017-01-25,股票基金
2353,003703,博时富鑫纯债债券,2016-11-17,债券基金
2354,003704,光大事件驱动,2017-01-18,混合式基金
2355,003705,工银恒泰纯债债券,2016-11-15,债券基金
2356,003706,民生加银鑫兴纯债债券,2017-07-21,债券基金
2357,003708,博时民丰纯债债券,2016-11-29,债券基金
2358,003710,国投瑞银和顺债券,2016-11-23,债券基金
2359,003711,泰达宏利京元宝货币,2016-11-23,货币基金
2360,003713,英大睿盛混合,2016-12-01,混合式基金
2361,003715,宝盈消费主题灵活配置混合,2017-01-04,混合式基金
2362,003716,平安大华惠益纯债,2017-03-07,债券基金
2363,003717,中银量化精选混合,2016-12-13,混合式基金
2364,161125,易方达标普500指数(QDII-LOF),2016-12-02,股票基金
2365,161126,易方达标普医疗保健指数(QDII-LOF),2016-11-28,股票基金
2366,161127,易方达标普生物科技指数(QDII-LOF),2016-12-13,股票基金
2367,161128,易方达标普科技指数(QDII-LOF),2016-12-13,股票基金
2368,161130,易方达纳斯达克100指数(QDII-LOF),2017-06-23,股票基金
2369,003726,融通通颐定期开放债,2017-03-16,债券基金
2370,003728,融通通宸债券,2016-12-21,债券基金
2371,003730,博时富华纯债债券,2016-11-25,债券基金
2372,003731,长安泓泽纯债债券,2016-11-16,债券基金
2373,003733,金鹰添裕纯债债券,2016-11-23,债券基金
2374,003734,万家瑞盈,2016-11-11,混合式基金
2375,003736,新华华荣,2017-07-25,混合式基金
2376,003737,新华鑫裕,2017-05-19,混合式基金
2377,003738,新华华瑞,2017-01-11,混合式基金
2378,003739,新华鑫弘,2016-11-30,混合式基金
2379,003740,新华华盛,2017-04-17,混合式基金
2380,003741,鹏华丰盈债券,2016-11-22,债券基金
2381,003742,汇安嘉汇纯债债券,2016-12-02,债券基金
2382,003743,广发汇平一年定期开放债券,2017-01-06,债券基金
2383,003745,广发多元新兴股票,2017-04-24,股票基金
2384,003746,广发汇瑞3个月定开债,2016-11-28,债券基金
2385,003747,万家鑫享纯债,2017-02-09,债券基金
2386,003749,创金合信鑫收益混合,2016-12-19,混合式基金
2387,003751,万家瑞隆,2016-11-30,混合式基金
2388,003752,工银如意货币,2016-12-23,货币基金
2389,003754,国泰普益灵活配置混合,2016-12-23,混合式基金
2390,003756,国泰嘉益灵活配置混合,2017-03-01,混合式基金
2391,003758,国泰稳益定期开放灵活配置混合,2017-07-26,混合式基金
2392,003760,国泰宁益定期开放灵活配置混合,2017-08-01,混合式基金
2393,003762,国开开泰混合,2016-12-27,混合式基金
2394,003765,广发创业板ETF联接,2017-05-25,联接基金
2395,003767,泰达宏利纯利债券,2016-11-25,债券基金
2396,003769,中银品质生活混合,2017-03-08,混合式基金
2397,003770,中银丰庆定期开放债券,2017-03-20,债券基金
2398,003772,国联安鑫盛混合,2016-11-28,混合式基金
2399,003774,国联安鑫利混合,2016-12-15,混合式基金
2400,003776,南方宣利定期开放债券,2016-12-06,债券基金
2401,003778,上投摩根安瑞回报混合,2017-01-24,混合式基金
2402,003780,鹏华兴悦定期开放混合,2016-12-13,混合式基金
2403,003781,鹏华兴裕定期开放混合,2016-11-25,混合式基金
2404,003782,招商稳阳定开灵活配置,2017-02-23,混合式基金
2405,003784,招商稳泰定开灵活配置,2017-02-09,混合式基金
2406,003787,方正富邦惠利纯债,2016-12-19,债券基金
2407,003789,工银丰益一年定开债券,2016-12-07,债券基金
2408,003793,泰达宏利溢利债券,2017-01-22,债券基金
2409,003795,方正富邦睿利纯债,2016-12-16,债券基金
2410,003797,华安新瑞利灵活配置混合,2016-12-01,混合式基金
2411,003799,华安新泰利灵活配置混合,2016-12-09,混合式基金
2412,003801,华安新安平灵活配置混合,2017-01-10,混合式基金
2413,003803,华安新丰利灵活配置混合,2016-12-29,混合式基金
2414,003805,华安新恒利灵活配置混合,2016-12-09,混合式基金
2415,003807,南方荣优鑫年享定期开放混合,2017-03-24,混合式基金
2416,003809,招商招顺纯债,2016-12-07,债券基金
2417,003811,中金金利,2016-12-13,债券基金
2418,003813,泰康金泰3月定开混合,2017-01-22,混合式基金
2419,003814,银华上证10年期国债指数,2016-12-05,债券基金
2420,511880,银华交易型货币,2013-04-01,货币基金
2421,003817,银华上证5年期国债指数,2016-12-05,债券基金
2422,003819,广发景华纯债,2016-11-28,债券基金
2423,003820,华夏新锦鸿混合,2016-12-06,混合式基金
2424,003824,天弘信利债券,2016-12-16,债券基金
2425,003826,华夏鼎汇债券,2017-01-18,债券基金
2426,003828,鹏华兴惠定期开放混合,2017-01-25,混合式基金
2427,003830,建信鑫悦回报灵活配置混合,2016-12-02,混合式基金
2428,003831,建信鑫瑞回报灵活配置混合,2017-03-01,混合式基金
2429,003832,中银丰润定期开放债券,2016-12-01,债券基金
2430,003833,金鹰添富纯债债券,2016-11-28,债券基金
2431,003834,华夏能源革新股票,2017-06-07,股票基金
2432,003835,鹏华沪深港新兴成长混合,2016-12-02,混合式基金
2433,003836,新沃鑫禧债券,2016-12-22,债券基金
2434,003837,东方臻享纯债债券,2016-11-28,债券基金
2435,003839,易方达瑞通混合,2016-12-07,混合式基金
2436,003841,大成惠裕定开纯债债券,2017-05-15,债券基金
2437,003842,中邮景泰灵活配置混合,2016-12-29,混合式基金
2438,003844,建信睿源纯债债券,2017-08-16,债券基金
2439,003845,汇安丰恒混合,2017-03-13,混合式基金
2440,003847,华安鼎丰,2016-11-30,债券基金
2441,003848,中银广利混合,2016-12-14,混合式基金
2442,003850,中银锦利混合,2016-12-22,混合式基金
2443,003852,金鹰添享纯债债券,2017-02-28,债券基金
2444,003853,金鹰信息产业股票,2017-03-10,股票基金
2445,003854,汇安丰华混合,2017-01-10,混合式基金
2446,003856,国都聚鑫定期开放,2016-12-21,混合式基金
2447,003857,前海开源周期优选混合,2017-01-25,混合式基金
2448,003859,招商招旭纯债债券,2016-12-15,债券基金
2449,003861,招商兴福混合,2016-12-06,混合式基金
2450,003863,招商招祥纯债,2016-12-07,债券基金
2451,003866,博时富诚纯债债券,2017-03-17,债券基金
